Country,Code,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Uganda,UGA,1.4,2.6,1.4,1.3,1.3,3.0,1.3,1.3,1.2,3.5,1.2,1.2,1.2
Ukraine,UKR,5.5,10.6,5.9,6.2,9.7,20.1,9.5,10.6,9.8,28.5,10.6,12.3,11.6
United Arab Emirates,ARE,10.3,19.4,10.3,10.4,10.5,24.8,10.4,10.6,10.7,30.3,10.9,11.1,11.2
United Kingdom,GBR,23.2,43.8,23.4,23.7,45.7,61.7,26.1,37.0,26.9,76.3,27.7,39.3,28.4
United States,USA,6.0,11.3,6.0,6.1,6.2,13.6,5.7,5.8,5.9,16.7,6.0,6.1,6.2
Uruguay,URY,14.3,27.1,14.6,14.9,15.2,36.2,15.4,15.7,16.1,46.0,16.8,17.1,17.4
Uzbekistan,UZB,0.9,1.7,0.9,0.9,0.9,2.2,0.9,0.9,0.9,2.7,1.0,1.0,1.0
Vietnam,VNM,3.6,6.7,3.6,3.6,3.7,8.7,3.7,3.7,3.8,10.9,3.9,4.0,4.1
Zambia,ZMB,2.3,4.2,2.2,2.2,2.2,5.0,2.1,2.0,2.0,5.7,2.0,2.0,2.0
Zimbabwe,ZWE,2.0,3.7,1.9,1.9,2.0,4.5,1.9,1.9,1.9,5.4,1.9,1.9,1.9
